# x	x->A	x->C	x->G	x->T	del	x->insertedA	x->insertedC	x->insertedG	x->insertedT
A	0	599620	781362	540031	0	0	0	0	0
C	501568	0	395190	638686	0	0	0	0	0
G	631820	405798	0	482292	0	0	0	0	0
T	699284	878566	756130	0	0	0	0	0	0
