#homopolymerSize	deletionProb	insertionProb
0	0.0	0.0
1	0.0	0.0
2	0.00001	0.000007
3	0.00001	0.000006
4	0.000006	0.000014
5	0.000024	0.000013
6	0.00014	0.00018
7	0.00070	0.00066
8	0.00068	0.00127
9	0.0015	0.0014
10	0.0020	0.0016
11	0.0033	0.0025
