150	799
151	802
152	812
153	843
154	829
155	845
156	858
157	853
158	886
159	883
160	939
161	928
162	945
163	948
164	969
165	990
166	1014
167	1024
168	1059
169	1044
170	1054
171	1100
172	1141
173	1140
174	1141
175	1184
176	1219
177	1208
178	1227
179	1281
180	1291
181	1290
182	1354
183	1337
184	1371
185	1408
186	1449
187	1495
188	1499
189	1531
190	1569
191	1566
192	1601
193	1634
194	1699
195	1716
196	1752
197	1795
198	1823
199	1837
200	2038
201	20653
202	21038
203	21084
204	22039
205	22524
206	23396
207	23882
208	23704
209	24891
210	24686
211	25936
212	26501
213	26767
214	26937
215	27802
216	28411
217	29084
218	29940
219	30556
220	30955
221	31636
222	32625
223	32986
224	33833
225	34972
226	35268
227	36121
228	36573
229	37881
230	38502
231	39500
232	40463
233	41405
234	41583
235	42286
236	42892
237	44325
238	45816
239	46605
240	47658
241	48345
242	49865
243	50659
244	51813
245	52675
246	53629
247	55269
248	55829
249	57176
250	58063
251	59568
252	60651
253	61739
254	63074
255	63520
256	64872
257	66680
258	67499
259	68869
260	70622
261	71312
262	72084
263	73554
264	74997
265	75862
266	77412
267	79110
268	79976
269	81515
270	82506
271	83758
272	85487
273	87041
274	88117
275	89164
276	89441
277	91073
278	92106
279	93812
280	94961
281	95308
282	97097
283	98043
284	98970
285	99698
286	100949
287	100757
288	102697
289	103293
290	104115
291	106535
292	106647
293	107321
294	108390
295	109601
296	109821
297	110513
298	110365
299	111397
300	112500
301	113249
302	114083
303	114169
304	114763
305	115434
306	115119
307	115044
308	116831
309	115634
310	116802
311	116707
312	116817
313	116940
314	117489
315	116883
316	117699
317	116735
318	117160
319	117452
320	117166
321	116275
322	116613
323	117516
324	116190
325	116609
326	114772
327	114377
328	113983
329	113409
330	113129
331	113030
332	112019
333	112221
334	111682
335	111799
336	110517
337	108932
338	108664
339	108301
340	107144
341	107218
342	105810
343	105977
344	104334
345	103539
346	102127
347	101455
348	100604
349	99971
350	97335
351	98007
352	97456
353	95609
354	95410
355	94410
356	93339
357	92851
358	90513
359	90214
360	89701
361	87755
362	87484
363	85432
364	84417
365	83851
366	83659
367	82292
368	80702
369	80078
370	78204
371	77192
372	75784
373	75171
374	74272
375	73521
376	72792
377	70900
378	70060
379	69259
380	67763
381	66799
382	65622
383	64970
384	63857
385	62952
386	61805
387	60976
388	59963
389	58998
390	58232
391	57044
392	55878
393	54767
394	53555
395	53113
396	52140
397	51273
398	51012
399	49244
400	48361
401	47188
402	47120
403	45864
404	44722
405	44284
406	43547
407	43086
408	41774
409	41119
410	40161
411	38894
412	38428
413	37669
414	37326
415	36296
416	35590
417	34623
418	34597
419	33385
420	32637
421	31916
422	31191
423	30441
424	29774
425	29260
426	28657
427	28232
428	27767
429	26889
430	26547
431	26089
432	24980
433	24669
434	23982
435	23177
436	22786
437	22286
438	21682
439	21657
440	21033
441	20781
442	19927
443	19376
444	18863
445	18998
446	18278
447	17812
448	17539
449	17085
450	16458
451	16185
452	15648
453	15402
454	14813
455	14476
456	14139
457	14042
458	13567
459	13280
460	13006
461	12951
462	12900
463	11956
464	11837
465	11351
466	11101
467	10896
468	10729
469	10371
470	10293
471	10014
472	9578
473	9362
474	9111
475	8799
476	8650
477	8651
478	8254
479	7905
480	8011
481	7500
482	7490
483	7371
484	6779
485	6992
486	6679
487	6672
488	6233
489	6221
490	6282
491	6017
492	5809
493	5660
494	5394
495	5143
496	5352
497	5258
498	4789
499	4883
500	4622
501	4524
502	4710
503	4299
504	4266
505	3942
506	4113
507	3934
508	3647
509	3673
510	3623
511	3440
512	3436
513	3322
514	3255
515	3260
516	2983
517	3007
518	2863
519	2853
520	2764
521	2671
522	2469
523	2639
524	2618
525	2517
526	2424
527	2342
528	2262
529	2195
530	2096
531	2104
532	2109
533	1969
534	1942
535	1981
536	1826
537	1801
538	1822
539	1779
540	1710
541	1755
542	1626
543	1505
544	1544
545	1465
546	1298
547	1350
548	1370
549	1341
550	1318
551	1080
552	1173
553	1140
554	1040
555	985
556	1027
557	1014
558	908
559	937
560	924
561	898
562	858
563	838
564	923
565	938
566	809
567	833
568	699
569	757
570	709
571	770
572	676
573	654
574	660
575	507
576	664
577	676
578	607
579	586
580	564
581	517
582	533
583	519
584	522
585	526
586	479
587	534
588	411
589	426
590	472
591	418
592	401
593	394
594	375
595	363
596	374
597	426
598	406
599	351
600	335
601	340
602	330
