820	69207
821	69068
822	67549
823	67002
824	66008
825	64399
826	64234
827	63663
828	63005
829	62023
830	61837
831	60984
832	60435
833	59403
834	58925
835	58387
836	57836
837	58051
838	56200
839	55613
840	55060
841	54635
842	53784
843	53483
844	53121
845	52331
846	52734
847	50644
848	50243
849	49952
850	49409
851	48946
852	48670
853	47989
854	47093
855	47369
856	46433
857	46290
858	45215
859	44694
860	44418
861	43906
862	42963
863	43039
864	42465
865	41985
866	41422
867	41423
868	40645
869	40127
870	39929
871	39486
872	38722
873	38626
874	38586
875	37877
876	37550
877	37216
878	36220
879	36082
880	35824
881	35408
882	34811
883	34553
884	34228
885	33935
886	33480
887	33262
888	32852
889	32396
890	32252
891	32220
892	31312
893	30814
894	31029
895	30686
896	30180
897	30597
898	29698
899	29452
900	29080
901	28802
902	28548
903	27839
904	28004
905	27769
906	27321
907	27102
908	26638
909	26893
910	26269
911	26155
912	25962
913	25582
914	25571
915	24985
916	25050
917	24517
918	24678
919	24171
920	24111
921	23965
922	23648
923	23657
924	23975
925	23584
926	23889
927	23670
928	23751
929	24361
930	23945
931	22511
932	22694
933	21900
934	21875
935	21327
936	21051
937	20593
938	20656
939	20371
940	20049
941	19652
942	19289
943	19190
944	19315
945	18808
946	18540
947	18600
948	18515
949	18041
950	18030
951	17967
952	17685
953	17563
954	17167
955	17358
956	16954
957	16536
958	16739
959	16632
960	16395
961	15941
962	15824
963	15719
964	15755
965	15509
966	15284
967	15467
968	15341
969	15030
970	14926
971	15020
972	14435
973	14373
974	14106
975	14206
976	13935
977	13903
978	13618
979	13493
980	13367
981	13251
982	12897
983	13321
984	13020
985	12618
986	12713
987	12426
988	12179
989	12437
990	12277
991	12050
992	11980
993	11665
994	11446
995	11557
996	11379
997	10930
998	11311
999	10993
1000	11354
1001	10892
1002	10752
1003	10481
1004	10793
1005	10489
1006	10121
1007	9913
1008	10080
1009	9830
1010	10133
1011	9568
1012	9516
1013	9708
1014	9436
1015	9244
1016	9125
1017	9267
1018	9145
1019	9013
1020	9139
1021	9081
1022	8644
1023	8650
1024	8329
1025	8344
1026	8189
1027	8030
1028	8061
1029	7878
1030	7932
1031	7919
1032	8438
1033	7609
1034	7504
1035	7482
1036	7697
1037	7236
1038	7145
1039	7405
1040	7298
1041	6991
1042	7113
1043	6961
1044	6721
1045	7086
1046	6836
1047	6734
1048	6675
1049	6741
1050	6574
1051	6378
1052	6271
1053	6263
1054	6285
1055	6220
1056	6110
1057	6390
1058	6048
1059	5978
1060	5976
1061	5897
1062	5829
1063	5824
1064	5875
1065	5701
1066	5768
1067	5652
1068	5647
1069	5350
1070	5442
1071	5654
1072	5230
1073	5324
1074	5363
1075	5216
1076	5413
1077	5345
1078	5393
1079	5515
1080	5072
1081	5142
1082	4987
1083	4946
1084	4951
1085	4878
1086	4799
1087	4828
1088	4697
1089	4912
1090	4866
1091	4711
1092	4870
1093	4712
1094	4764
1095	4823
1096	5006
1097	4760
1098	4757
1099	4759
1100	4790
1101	4755
1102	4623
1103	4444
1104	4434
1105	4537
1106	4424
1107	4564
1108	4322
1109	4607
1110	4442
1111	4187
1112	4269
1113	4155
1114	4078
1115	4111
1116	4123
1117	4694
1118	3994
1119	4022
1120	4086
1121	3983
1122	3855
1123	3959
1124	3801
1125	3701
1126	3871
1127	3980
1128	3707
1129	3891
1130	3907
1131	3780
1132	3746
1133	3949
1134	3591
1135	3574
1136	3428
1137	3739
1138	3574
1139	3990
1140	3420
1141	3408
1142	3396
1143	3278
1144	3305
1145	3434
1146	3483
1147	3298
1148	3139
1149	3397
1150	3211
1151	3179
1152	3180
1153	3443
1154	3319
1155	3176
1156	3178
1157	3538
1158	3025
1159	3046
1160	3185
1161	2796
1162	2771
1163	2948
1164	3003
1165	3205
1166	3119
1167	2957
1168	3777
1169	2847
1170	2894
1171	2826
1172	2675
1173	2786
1174	2741
1175	2845
1176	2841
1177	2891
1178	3130
1179	2888
1180	2737
1181	2939
1182	3124
1183	2623
1184	2690
1185	2580
1186	2570
1187	2464
1188	2473
1189	2748
1190	2351
1191	2309
1192	2380
1193	2486
1194	2284
1195	2302
1196	2348
1197	2219
1198	2228
1199	2103
1200	2240
1201	2153
1202	2213
1203	2293
1204	2097
1205	2130
1206	1958
1207	2054
1208	2008
1209	2041
1210	1889
1211	2053
1212	1944
1213	1918
1214	1925
1215	1947
1216	1754
1217	1852
1218	1985
1219	1737
1220	1884
1221	1761
1222	1783
1223	1898
1224	1820
1225	1701
1226	1653
1227	1710
1228	1690
1229	1631
1230	1572
1231	1572
1232	1576
1233	1693
1234	1577
1235	1477
1236	1824
1237	1609
1238	1760
1239	1679
1240	1624
1241	1586
1242	1351
1243	1663
1244	1542
1245	1511
1246	1399
1247	1478
1248	1485
1249	1345
1250	1348
1251	1344
